site_id,site_name,latitude,longitude,altitude,city,station_name_chinese
1029A,Staff hospital,38.0513,114.4548,79,Shijiazhuang ,职工医院
1030A,High-tech zone,38.0398,114.6046,70,Shijiazhuang ,高新区
1031A,Northwest water source,38.1398,114.5019,75,Shijiazhuang ,西北水源
1032A,Southwest higher Education,38.00583333,114.4586111,76,Shijiazhuang ,西南高教
1033A,Century Park,38.01777778,114.5330556,71,Shijiazhuang ,世纪公园
1034A,People's hall,38.0524,114.5214,78,Shijiazhuang ,人民会堂
1035A,Fenglong Mountain,37.9097,114.3541,270,Shijiazhuang ,封龙山
1036A,Supply and Marketing Cooperatives (closed 200110),39.6308,118.1662,29,Tangshan ,供销社(停运200110)
1037A,Radar station,39.643,118.144,30,Tangshan ,雷达站
1038A,Materials bureau,39.6407,118.1853,33,Tangshan ,物资局
1039A,Ceramic Company (shutdown 200109),39.6679,118.2185,29,Tangshan ,陶瓷公司(停运200109)
1040A,Twelve middle schools,39.65782,118.1838,20,Tangshan ,十二中
1041A,hill,39.6295,118.1997,27,Tangshan ,小山
1042A,Beidaihe Environmental Protection Bureau,39.8283,119.5259,28,Qinhuangdao ,北戴河环保局
1043A,The first pass,40.0181,119.7624,39,Qinhuangdao ,第一关
1044A,Monitoring station,39.9567,119.6023,23,Qinhuangdao ,监测站
1046A,Construction block,39.9419,119.5369,6,Qinhuangdao ,建设大厦
1047A,Environmental Protection Agency,36.61763,114.5129,57,Handan ,环保局
1048A,East sewage treatment plant,36.6164,114.5426,58,Handan ,东污水处理厂
1049A,Mine institute,36.5776,114.5035,56,Handan ,矿院
1050A,Congtai Park,36.61981,114.4965,60,Handan ,丛台公园
1051A,natatorium,38.8632,115.493,24,Baoding ,游泳馆
1052A,Huadian District 2,38.8957,115.5223,17,Baoding ,华电二区
1053A,Reception center,38.9108,115.4713,19,Baoding ,接待中心
1054A,Surface water plant,38.8416,115.4612,24,Baoding ,地表水厂
1055A,Film plant,38.8756,115.442,26,Baoding ,胶片厂
1056A,Monitoring station,38.8707,115.5214,20,Baoding ,监测站
1057A,People's Park,40.8367,114.8985,893,Zhangjiakou ,人民公园
1058A,Engine scout factory,40.79481,114.892,767,Zhangjiakou ,探机厂
1059A,Five coffers,40.8115,114.8814,760,Zhangjiakou ,五金库
1060A,Century Grand Garden,40.7688,114.9032,728,Zhangjiakou ,世纪豪园
1061A,North pump House,40.8725,114.904,878,Zhangjiakou ,北泵房
1062A,railway,40.9161,117.9664,337,Chengde ,铁路
1063A,Bank of China,40.9843,117.9525,394,Chengde ,中国银行
1064A,Development zone,40.9359,117.963,321,Chengde ,开发区
1065A,Cultural center,40.9733,117.8184,400,Chengde ,文化中心
1066A,Detached palace,41.0112,117.9384,352,Chengde ,离宫
1067A,Pharmaceutical company,39.5178,116.6838,18,Langfang ,药材公司
1068A,Development zone,39.5747,116.7729,15,Langfang ,开发区
1069A,Environmental Monitoring Supervision Center,39.5571,116.715,15,Langfang ,环境监测监理中心
1070A,North China Aerospace Institute,39.5343,116.7464,16,Langfang ,北华航天学院
1071A,Cangxian urban construction Bureau,38.2991,116.8854,8,Cangzhou ,沧县城建局
1072A,Television relay station,38.3254,116.8584,9,Cangzhou ,电视转播站
1073A,Municipal Environmental Protection Bureau,38.3228,116.8709,7,Cangzhou ,市环保局
1074A,Electric machinery north Factory,37.7575,115.6951,20,Hengshui ,电机北厂
1075A,Municipal monitoring station,37.7379,115.6426,24,Hengshui ,市监测站
1076A,Municipal Environmental Protection Bureau,37.739,115.6906,24,Hengshui ,市环保局
1077A,Dahua Spring,37.0967,114.4821,70,Xingtai ,达活泉
1078A,Xing division high school,37.0533,114.5261,65,Xingtai ,邢师高专
1079A,Road and bridge company,37.0964,114.5331,62,Xingtai ,路桥公司
1080A,Municipal Environmental Protection Bureau,37.062,114.4854,77,Xingtai ,市环保局
1081A,Sharp lawn,37.8873,112.522,790,Taiyuan ,尖草坪
1082A,Jianhe,37.9103,112.573,831,Taiyuan ,涧河
1083A,Shanglan (comparison point),38.0108,112.434,813,Taiyuan ,上兰(对照点)
1084A,Jinyuan,37.7124,112.469,767,Taiyuan ,晋源
1085A,shop,37.7394,112.5583,776,Taiyuan ,小店
1086A,Peach orchard,37.8692,112.5369,789,Taiyuan ,桃园
1087A,docktown,37.8195,112.57,788,Taiyuan ,坞城
1088A,Nanchai,37.9854,112.549,804,Taiyuan ,南寨
1089A,Golden victory,37.7778,112.4783,786,Taiyuan ,金胜
1090A,A supervisor in Hohmarket,40.7579,111.651,1034,Hohhot ,呼市一监
1091A,Xiao Zhao,40.8033,111.658,1049,Hohhot ,小召
1092A,Xingsong Community (out of service 200113),40.8452,111.659,1067,Hohhot ,兴松小区(停运200113)
1093A,Sugar Factory (closed 200113),40.8144,111.608,1059,Hohhot ,糖厂(停运200113)
1094A,Ruyi water treatment plant,40.8369,111.751,1072,Hohhot ,如意水处理厂
1095A,Twenty-ninth,40.8062,111.7277,1057,Hohhot ,二十九中
1096A,Jinchuan Campus of Technology University,40.7866,111.551,1066,Hohhot ,工大金川校区
1097A,Fertilizer plant living area,40.7612,111.717,1043,Hohhot ,化肥厂生活区
1098A,Forest road,41.9339,123.6836,132,Shenyang ,森林路
1099A,Hunnan East Road,41.7561,123.535,52,Shenyang ,浑南东路
1100A,New star Street,41.7089,123.439,45,Shenyang ,新秀街
1101A,Canghai Road,41.7694,123.284,38,Shenyang ,沧海路
1102A,Dongling Road,41.8336,123.542,57,Shenyang ,东陵路
1103A,East Ling Street,41.8472,123.428,48,Shenyang ,陵东街
1104A,Wenhua Road,41.765,123.41,43,Shenyang ,文化路
1105A,riverside,41.7775,123.478,52,Shenyang ,小河沿
1106A,Taiyuan Street,41.7972,123.3997,53,Shenyang ,太原街
1107A,South ten East Road,41.7806,123.3606,46,Shenyang ,南十东路
1108A,Jingshen Street,41.9228,123.3783,46,Shenyang ,京沈街
1109A,Kanjingzi,38.97388889,121.6119444,14,Dalian ,甘井子
1110A,perizon,38.95111111,121.565,37,Dalian ,周水子
1111A,Xinghai three stations,38.885,121.5638889,37,Dalian ,星海三站
1112A,Qingniwa Bridge,38.91194444,121.6330556,28,Dalian ,青泥洼桥
1113A,Fu Jiazhuang,38.86388889,121.625,16,Dalian ,傅家庄
1114A,Seven wise Ridge,38.85611111,121.5180556,47,Dalian ,七贤岭
1115A,Lushun,38.80805556,121.2588889,5,Dalian ,旅顺
1116A,Golden State,39.1311,121.7481,54,Dalian ,金州
1117A,Development zone,39.0511,121.7769,30,Dalian ,开发区
1118A,Double D ports,39.0631,121.9769,2,Dalian ,双D港
1119A,Food factory,43.9167,125.323,217,Changchun ,食品厂
1120A,Passenger car factory,43.91,125.287,214,Changchun ,客车厂
1121A,University of Posts and Telecommunications,43.84,125.2786,219,Changchun ,邮电学院
1122A,Labor park,43.8748,125.3649,198,Changchun ,劳动公园
1123A,Garden department,43.8694,125.325,221,Changchun ,园林处
1124A,Jingyuetan,43.7878,125.454,228,Changchun ,净月潭
1125A,Springing bay,43.55,125.633,218,Changchun ,甩湾子
1126A,Economic development zone sanitation Department,43.8667,125.417,203,Changchun ,经开区环卫处
1127A,Administrative Committee of High-tech Zone,43.8167,125.25,210,Changchun ,高新区管委会
1128A,Daishan Park,43.85,125.217,213,Changchun ,岱山公园
1129A,Lingbei,45.755,126.542,119,Harbin ,岭北(对照点)
1130A,Songbei Commercial University,45.8167,126.561,118,Harbin ,松北商大
1131A,Ah Cheng Huining,45.5422,126.979,144,Harbin ,阿城会宁
1132A,Nangang Xuefu Road,45.7222,126.599,149,Harbin ,南岗学府路
1133A,Taiping Grand Park,45.7733,126.689,129,Harbin ,太平宏伟公园
1134A,"Chengde Square, Daowai",45.7667,126.635,135,Harbin ,道外承德广场
1135A,Xiangfang Hongqi Street,45.7319,126.685,147,Harbin ,香坊红旗大街
1136A,Dynamic peace path,45.7258,126.646,152,Harbin ,动力和平路
1137A,Daoli Jianguo Road,45.7478,126.593,122,Harbin ,道里建国路
1138A,Bungalow East light factory,45.61,126.615,180,Harbin ,平房东轻厂
1139A,Hulan Teachers College,45.9819,126.6106,127,Harbin ,呼兰师专
1140A,Provincial Academy of Agricultural Sciences,45.6842,126.6206,166,Harbin ,省农科院
1141A,Putuo,31.238,121.4,7,Shanghai,普陀
1142A,Fifteenth factory,31.2036,121.478,8,Shanghai,十五厂
1143A,Hongkou,31.3008,121.467,9,Shanghai,虹口
1144A,Xu Hui attended Normal University,31.1654,121.412,4,Shanghai,徐汇上师大
1145A,Yang Pu four Piao,31.2659,121.536,11,Shanghai,杨浦四漂
1146A,Qingpu Dianshan Lake,31.0935,120.978,6,Shanghai,青浦淀山湖
1147A,Jing 'an monitoring Station,31.2261,121.425,8,Shanghai,静安监测站
1148A,Chuansha in Pudong,31.1907,121.703,5,Shanghai,浦东川沙
1149A,Pudong New Area monitoring station,31.2284,121.533,9,Shanghai,浦东新区监测站
1150A,Pudong Zhangjiang District,31.2071,121.577,5,Shanghai,浦东张江
1151A,Maigao Bridge,32.1083,118.803,21,Nanjing,迈皋桥
1152A,Meadow gate,32.0572,118.749,6,Nanjing,草场门
1153A,Shan Xi Road,32.0723,118.778,13,Nanjing,山西路
1154A,Zhonghua Gate,32.0144,118.777,15,Nanjing,中华门
1155A,Ruijin Road,32.0314,118.803,13,Nanjing,瑞金路
1156A,Xuanwu Lake,32.0775,118.795,15,Nanjing,玄武湖
1157A,Pukou District,32.0964,118.6414,15,Nanjing,浦口
1158A,Olympic sports center,31.9996,118.7356,5,Nanjing,奥体中心
1159A,Xianlin University Town,32.105,118.907,19,Nanjing,仙林大学城
1160A,Mount Shangfang,31.2472,120.561,3,Suzhou ,上方山
1161A,A surname,31.2864,120.628,8,Suzhou ,南门
1162A,Colored incense,31.3019,120.591,1,Suzhou ,彩香
1163A,Rolling mill,31.3264,120.596,3,Suzhou ,轧钢厂
1164A,Wuzhong District,31.2703,120.613,11,Suzhou ,吴中区
1165A,Suzhou New District,31.2994,120.543,52,Suzhou ,苏州新区
1166A,Suzhou Industrial Park,31.3097,120.669,22,Suzhou ,苏州工业园区
1167A,Xiangcheng District,31.3708,120.641,1,Suzhou ,相城区
1168A,Southern suburbs,31.96,120.913,2,Nantong ,南郊
1169A,Rainbow bridge,32.0005,120.86,2,Nantong ,虹桥
1170A,In the ,32.02,120.87,7,Nantong ,城中
1171A,Star Lake Garden,31.93,120.94,3,Nantong ,星湖花园
1172A,Zilang College,32.0417,120.81,1,Nantong ,紫琅学院
1173A, environmental monitoring station,34.5885,119.176,7,Lianyungang ,市环境监测站
1174A,Hongmen Police Station,34.5896,119.141,5,Lianyungang ,洪门派出所
1175A,墟沟 Nuclear power Expert village,34.7507,119.368,5,Lianyungang ,墟沟核电专家村
1176A,Development zone Hengrui pharmaceutical company,34.6984,119.348,6,Lianyungang ,开发区恒瑞医药公司
1177A,Huanghe New village,34.2761,117.167,44,Xuzhou ,黄河新村
1178A,Huita,34.2328,117.1917,58,Xuzhou ,淮塔
1179A,Tongshan Veterinary Hospital,34.3083,117.192,35,Xuzhou ,铜山兽医院
1180A,New urban district,34.2153,117.256,37,Xuzhou ,新城区
1181A,Taoyuan Road,34.2908,117.2458,40,Xuzhou ,桃园路
1182A,Academy of Agricultural Sciences,34.2778,117.2933,36,Xuzhou ,农科院
1183A,Tongshan District Environmental Protection Bureau,34.1806,117.166,37,Xuzhou ,铜山区环保局
1184A,Chengdong Financial Office (closed 180626),32.3878,119.46,9,Yangzhou ,城东财政所(停运180626)
1185A,Municipal monitoring station,32.41,119.404,10,Yangzhou ,市监测站
1186A,Hanjiang monitoring station,32.3761,119.389,9,Yangzhou ,邗江监测站
1187A,Fourth Hospital (out of service 161107),32.4033,119.439,10,Yangzhou ,第四医院(停运161107)
1188A,Snow wave,31.4867,120.269,2,Wuxi ,雪浪
1189A,Yellow Lane,31.6219,120.275,5,Wuxi ,黄巷
1190A,Cao Zhang,31.56,120.294,7,Wuxi ,曹张
1191A,Chiltong,31.5031,120.242,78,Wuxi ,漆塘
1192A,Dongjeong,31.5848,120.354,4,Wuxi ,东亭
1193A,Wantrang,31.5475,120.354,4,Wuxi ,旺庄
1194A,Vinh Lane,31.5631,120.245,9,Wuxi ,荣巷
1195A,Weir bridge,31.6842,120.288,7,Wuxi ,堰桥
1196A,Municipal monitoring station,31.7586,119.996,6,Changzhou ,市监测站
1197A,Urban Construction School (closed 161026),31.7786,119.933,6,Changzhou ,城建学校(停运161026)
1198A,Permanent Industrial Institute (out of service 161026),31.8089,119.962,6,Changzhou ,常工院(停运161026)
1199A,Lucheng (out of service 161026),31.7638,120.0393,7,Changzhou ,潞城(停运161026)
1200A,Wujin monitoring Station,31.7039,119.935,1,Changzhou ,武进监测站
1201A,Settle down,31.9017,119.9167,4,Changzhou ,安家
1202A,Environmental monitoring station,32.173,119.498,14,Zhenjiang ,环境监测站
1203A,New district office,32.1883,119.68,21,Zhenjiang ,新区办事处
1204A,Vocational education center,32.215,119.491,32,Zhenjiang ,职教中心
1205A,Dantu area monitoring station,32.1319,119.43,37,Zhenjiang ,丹徒区监测站
1206A,Park road,32.4867,119.9,7,Taizhou ,公园路
1207A,lotus,32.4611,119.9219,4,Taizhou ,莲花
1208A,Gaogang District Government,32.303,119.882,8,Taizhou ,高港区政府
1209A,Overseas students Pioneer park,32.4639,119.888,3,Taizhou ,留学生创业园
1210A,Palji Mountain,33.5981,119.036,17,Huai 'an ,钵池山
1211A,Beijing South Road,33.575,119.007,9,Huai 'an ,北京南路
1212A,Municipal monitoring station,33.6067,118.989,17,Huai 'an ,市监测站
1213A,Chuzhou district monitoring station,33.5039,119.135,6,Huai 'an ,楚州区监测站
1214A,Huaiyin district monitoring station,33.6297,119.0186,12,Huai 'an ,淮阴区监测站
1215A,Yancheng power plant,33.4022,120.118,3,Yancheng ,盐城电厂
1216A,Municipal monitoring station,33.3942,120.156,3,Yancheng ,市监测站
1217A,Man fung secondary,33.3719,120.129,5,Yancheng ,文峰中学
1218A,Administrative committee of development zone,33.3947,120.225,1,Yancheng ,开发区管委会
1219A,Municipal monitoring Station (out of service 161107),33.96,118.2658,31,Suqian ,市监测站(停运161107)
1220A,Suqian University,33.9528,118.293,29,Suqian ,宿迁学院
1221A,Suqian Middle School,33.9592,118.2442,29,Suqian ,宿迁中学
1222A,Suyu District Environmental Protection Bureau,33.9506,118.3214,21,Suqian ,宿豫区环保局
1223A,Binjiang,30.21,120.211,8,Hangzhou ,滨江
1224A,Xi Xi,30.2747,120.063,6,Hangzhou ,西溪
1225A,Thousand-island Lake,29.635,119.026,105,Hangzhou ,千岛湖
1226A,Lower sand,30.3058,120.348,9,Hangzhou ,下沙
1227A,Wolong Bridge,30.2456,120.127,15,Hangzhou ,卧龙桥
1228A,Zhejiang Agricultural University,30.2692,120.19,15,Hangzhou ,浙江农大
1229A,Chaoyang five district,30.2897,120.157,16,Hangzhou ,朝晖五区
1230A,United primary,30.3119,120.12,12,Hangzhou ,和睦小学
1231A,Linping Town,30.4183,120.301,10,Hangzhou ,临平镇
1232A,Chengxiang Town,30.1819,120.27,13,Hangzhou ,城厢镇
1233A,Cloud habitat,30.1808,120.088,80,Hangzhou ,云栖
1234A,District environmental building,29.9108,121.836,4,Ningbo ,区环保大楼
1235A,Wanli University,29.8208,121.56,5,Ningbo ,万里学院
1236A,Ronsay Hospital,29.9572,121.713,6,Ningbo ,龙赛医院
1237A,Sanjiang secondary,29.8906,121.554,9,Ningbo ,三江中学
1238A,Municipal administration station,29.9017,121.615,5,Ningbo ,市政管理站
1239A,Qianhu Lake water plant,29.7736,121.633,5,Ningbo ,钱湖水厂
1240A,Swire primary,29.8633,121.586,9,Ningbo ,太古小学
1241A,Municipal Environmental monitoring Center,29.8506,121.524,5,Ningbo ,市环境监测中心
1242A,Ou Hai,28.0089,120.634,11,Wenzhou ,瓯海
1243A,Nampo,27.9939,120.677,8,Wenzhou ,南浦
1244A,Long Wan,27.9747,120.76,7,Wenzhou ,龙湾
1245A,Municipal station,28.0167,120.671,12,Wenzhou ,市站
1246A,Paogang Station,30.0911,120.598,10,Shaoxing ,袍江站
1247A, East Development Commission,29.9919,120.605,10,Shaoxing ,城东开发委
1248A,Municipal environmental protection station,30.007,120.576,14,Shaoxing ,市环保站
1249A,North  water works,30.8867,120.1,5,Huzhou ,城北水厂
1250A,West  water Works,30.8244,120.07,3,Huzhou ,城西水厂
1251A,Jishan New Village,30.8617,120.093,7,Huzhou ,吉山新村
1252A,Qinghe primary,30.7946,120.744,7,Jiaxing ,清河小学
1253A,Jiaxing University,30.7478,120.726,10,Jiaxing ,嘉兴学院
1254A,Monitoring station,30.529,120.684,8,Jiaxing ,监测站
1255A,Huangyan Environmental Protection Building,28.6459,121.273,8,Taizhou ,黄岩环保大楼
1256A,Taizhou Environmental Protection Building,28.6542,121.419,6,Taizhou ,台州环保大楼
1257A,Road bridge Tian Yang king,28.5773,121.377,7,Taizhou ,路桥田洋王
1258A,Dinghai Sandalwood,30.0203,122.122,3,Zhoushan ,定海檀枫
1259A,The port of Putodong,29.9558,122.3094,12,Zhoushan ,普陀东港
1260A,Lincheng new district,29.9944,122.19,13,Zhoushan ,临城新区
1261A,Four middle schools,29.1131,119.649,60,Jinhua ,四中
1262A,Fifteenth middle school,29.077,119.647,49,Jinhua ,十五中
1263A,Monitoring station,29.1029,119.686,42,Jinhua ,监测站
1264A,Green building,28.9404,118.871,72,Quzhou ,环保大楼
1265A,Experimental school,28.9664,118.871,75,Quzhou ,实验学校
1266A,Quzhou University,28.9745,118.855,63,Quzhou ,衢州学院
1267A,Monitoring station building,28.4514,119.914,61,Lishui ,监测站大楼
1268A,Liandu primary,28.4586,119.93,58,Lishui ,莲都小学
1269A,Yu Zhuangqian,28.4231,119.879,56,Lishui ,余庄前
1270A,Pearl Square,31.7848,117.196,36,Hefei ,明珠广场
1271A,Sanli Street,31.8766,117.307,17,Hefei ,三里街
1272A,Amber Villa,31.8706,117.259,16,Hefei ,琥珀山庄
1273A,Dongpu reservoir,31.9051,117.16,32,Hefei ,董铺水库
1274A,Middle Changjiang Road,31.8572,117.25,30,Hefei ,长江中路
1275A,Luyang District,31.9438,117.266,34,Hefei ,庐阳区
1276A,Yaohai District,31.8585,117.336,19,Hefei ,瑶海区
1277A,Baohe District,31.7956,117.302,15,Hefei ,包河区
1278A,Binhu New district,31.7386,117.278,13,Hefei ,滨湖新区
1279A,High-tech zone,31.8516,117.124,42,Hefei ,高新区
1280A,Drum Mountain,26.0542,119.389,390,Fuzhou ,鼓山
1281A,Kuaian,26.0258,119.414,7,Fuzhou ,快安
1282A,Normal University,26.0392,119.303,35,Fuzhou ,师大
1283A,May 4th North Road,26.1092,119.299,19,Fuzhou ,五四北路
1284A,Yangqiao West Road,26.0797,119.268,10,Fuzhou ,杨桥西路
1285A,Ziyang,26.0753,119.315,18,Fuzhou ,紫阳
1286A,Kye-dong,24.81805556,118.1569444,130,Xiamen ,溪东
1287A,Great prose,24.47666667,118.1513889,35,Xiamen ,洪文
1288A,Gulangyu Island,24.44583333,118.0636111,12,Xiamen ,鼓浪屿
1290A,Provincial foreign affairs office,28.6844,115.893,32,Nanchang ,省外办
1291A,Provincial forestry company,28.6839,115.8886,27,Nanchang ,省林业公司
1292A,Institute of Forestry,28.7442,115.813,43,Nanchang ,林科所
1293A,Jingdong Town Government (Closed 200108),28.6969,115.973,17,Nanchang ,京东镇政府(停运200108)
1294A,Construction engineering school,28.6869,115.852,22,Nanchang ,建工学校
1295A,Elephant lake,28.6425,115.892,15,Nanchang ,象湖
1296A,Martial Arts School (Comparison point),28.7994,115.742,169,Nanchang ,武术学校(对照点)
1297A,Petrochemical (outage 170322),28.6131,115.912,30,Nanchang ,石化(停运170322)
1298A,Provincial station,28.6844,115.931,20,Nanchang ,省站
1299A,Kokansuo,36.6114,116.988,190,Jinan ,科干所
1300A,Agricultural science institute,36.67,116.93,28,Jinan ,农科所
1301A,Development zone,36.6739,117.114,80,Jinan ,开发区
1302A,Jinan Chemical Plant,36.6872,116.989,34,Jinan ,济南化工厂
1303A,Provincial seed storehouse,36.6868,117.0684,39,Jinan ,省种子仓库
1304A,Machine tool Plant II,36.6489,116.943,37,Jinan ,机床二厂
1305A,Municipal monitoring station,36.6622,117.049,61,Jinan ,市监测站
1306A,Chang Qing Party School,36.5464,116.7672,61,Jinan ,长清党校
1307A,Overhead mouth,36.2403,120.6659,9,Qingdao ,仰口
1308A,Licang District sub-station,36.1851,120.3905,58,Qingdao ,李沧区子站
1309A,Shibei sub-station,36.0699,120.3471,77,Qingdao ,市北区子站
1310A,Shinan District east sub-station,36.0654,120.4134,47,Qingdao ,市南区东部子站
1311A,Sifang District sub-station,36.1032,120.3664,27,Qingdao ,四方区子站
1312A,Shinan District west sub-station,36.0543,120.2992,20,Qingdao ,市南区西部子站
1313A,Laoshan district sub-station,36.0851,120.4587,-21,Qingdao ,崂山区子站
1314A,Huangdao District sub-station,36.3083,120.1964,10,Qingdao ,黄岛区子站
1315A,Chengyang District sub-station,36.2403,120.4001,21,Qingdao ,城阳区子站
1316A,Tobacco factory,34.7622,113.6844,104,Zhengzhou,烟厂
1317A,Zheng spinning machine,34.7745,113.641,103,Zhengzhou,郑纺机
1318A,Banking school,34.8019,113.675,92,Zhengzhou,银行学校
1319A,Water supply company,34.802,113.564,112,Zhengzhou,供水公司
1320A,Economic development zone management Committee,34.7187,113.727,100,Zhengzhou,经开区管委
1321A,Forty-seven middle schools,34.719,113.734,95,Zhengzhou,四十七中
1322A,Municipal monitoring station,34.7496,113.5991,131,Zhengzhou,市监测站
1323A,River medical University,34.7538,113.6356,107,Zhengzhou,河医大
1324A,Gangli Reservoir (comparison point),34.9162,113.6113,98,Zhengzhou,岗李水库(对照点)
1325A,East Lake Pear Garden,30.5719,114.3672,29,Wuhan ,东湖梨园
1326A,Hanyang Moon Lake,30.5514,114.2511,31,Wuhan ,汉阳月湖
1327A,Hankou Flower Bridge,30.6197,114.2836,28,Wuhan ,汉口花桥
1328A,Wuchang Ziyang,30.5494,114.3006,35,Wuhan ,武昌紫阳
1329A,Wuchang Ziyang,30.6103,114.4272,30,Wuhan ,青山钢花
1330A,Ziyang District Administration Center,30.4753,114.1525,29,Wuhan ,沌口新区
1331A,Ziyang Middle School,30.5947,114.3008,38,Wuhan ,汉口江滩
1332A,Donghu Hi-tech,30.4822,114.3894,26,Wuhan ,东湖高新
1333A,Wujia Mountain,30.6414,114.2131,21,Wuhan ,吴家山
1334A,Sinking lake seven trenches,30.2997,113.8531,19,Wuhan ,沉湖七壕
1335A,Economic development zone environmental protection Bureau,28.2325,113.0833,62,Changsha ,经开区环保局
1336A,Gaokai District Environmental Protection Bureau,28.2189,112.8872,70,Changsha ,高开区环保局
1337A,Mapoling,28.2053,113.0792,42,Changsha ,马坡岭
1338A,Hunan Normal University,28.19,112.9394,123,Changsha ,湖南师范大学
1339A,Yuhua District Environmental Protection Bureau,28.1442,112.9956,95,Changsha ,雨花区环保局
1340A,Wujialing,28.2597,112.9792,30,Changsha ,伍家岭
1341A,New train station,28.1944,113.0014,57,Changsha ,火车新站
1342A,Tianxin District Environmental Protection Bureau,28.1178,112.9844,81,Changsha ,天心区环保局
1343A,Hunan University of Traditional Chinese Medicine,28.1308,112.8908,35,Changsha ,湖南中医药大学
1344A,Sand flat,28.3586,112.9958,82,Changsha ,沙坪
1345A,Kwong nga secondary,23.1422,113.235,9,Guangzhou ,广雅中学
1346A,Municipal No. 5 middle schools,23.105,113.261,11,Guangzhou ,市五中
1347A,Tianhe vocational children,23.152,113.32,3,Guangzhou ,天河职幼
1348A,Guangdong College of Commerce,23.0916,113.348,4,Guangzhou ,广东商学院
1349A, eighty-six middle school,23.105,113.433,29,Guangzhou ,市八十六中
1350A,Panyu Secondary,22.9477,113.352,7,Guangzhou ,番禺中学
1351A,Huadu Normal University,23.3917,113.215,19,Guangzhou ,花都师范
1352A,Municipal monitoring station,23.1331,113.26,13,Guangzhou ,市监测站
1353A,Kowloon town dragon,23.2783,113.568,22,Guangzhou ,九龙镇镇龙
1354A,Foot lake,23.1569,113.281,38,Guangzhou ,麓湖
1355A,Maofeng Mountain Forest Park,23.5538,113.589,38,Guangzhou ,帽峰山森林公园
1356A,Tongxinlingzi Station,22.5545,114.1063,20,Shenzhen,通心岭子站
1357A,Honghu,22.5625,114.117,19,Shenzhen,洪湖
1358A,Overseas Chinese Town,22.5417,113.987,41,Shenzhen,华侨城
1359A,Nanhaizi Railway Station,22.5171,113.9181,6,Shenzhen,南海子站
1360A,Salt pan,22.5908,114.263,3,Shenzhen,盐田
1361A,Longgang,22.7267,114.24,42,Shenzhen,龙岗
1362A,Xixiang,22.5794,113.891,3,Shenzhen,西乡
1363A,South Australia,22.5422,114.494,71,Shenzhen,南澳
1364A,Kwai chung,22.6342,114.41,25,Shenzhen,葵涌
1365A,Mecha,22.5978,114.297,-18,Shenzhen,梅沙
1366A,Guan LAN,22.75,114.085,28,Shenzhen,观澜
1367A,Jilin University,22.2611,113.574,25,Zhuhai ,吉大
1368A,Front hill,22.2294,113.495,0,Zhuhai ,前山
1369A,Tang family,22.4251,113.628,13,Zhuhai ,唐家
1370A,A surname,22.2281,113.299,21,Zhuhai ,斗门
1371A,Bay beam,23.0048,113.134,2,Foshan ,湾梁
1372A,Huatai vocational,23.0395,113.105,18,Foshan ,华材职中
1373A,Nanhai Meteorological Bureau,23.0467,113.144,0,Foshan ,南海气象局
1374A,Shunde Sugang,22.8054,113.292,-18,Foshan ,顺德苏岗
1375A,Ronggui Street Office,22.7629,113.257,6,Foshan ,容桂街道办
1376A,Gao Ming Kong Hall,22.8693,112.844,3,Foshan ,高明孔堂
